word,ppvt,strgth,close,betw,eigen,degree,freq
ax,79,3.2997474957373925,192.75058069682362,123.0,0.49468899112730497,69,1
vegetable,84,3.540670662696357,265.80193960639036,292.0,0.5072241305518197,69,1
hyena,85,3.9755004855105653,156.6739121227563,1.0,0.5686971176384951,63,1
river,87,3.9360332948999712,272.11600562059664,462.0,0.6259978406024252,65,6
trunk,90,5.158557903429028,199.98018305414973,141.0,0.7572848953424904,58,11
vase,91,5.17451480566524,139.46306197789016,0.0,0.8318575944487253,60,2
bloom,93,3.3374682241119444,164.65243166217786,0.0,0.4988774278179545,71,3
swamp,95,3.4674637349671684,254.09559056715057,234.0,0.5301118551353934,68,1
heart,96,3.21709533338435,188.48911422843696,171.0,0.4587601649740447,67,3
pigeon,97,3.917558822839055,147.94714007901118,7.0,0.6168944558260437,64,4
safe,103,4.730424655135721,100.27526977723721,0.0,0.7423536017683444,62,11
boulder,104,3.2558160925109405,285.8655612557081,404.0,0.46646245634947375,71,1
luggage,109,3.545331058121519,201.19358921436466,33.0,0.5145717699044884,66,1
vine,111,4.495760190737201,231.14982750957327,29.0,0.7208490713859038,59,2
palm,117,3.237584456335753,146.304340449887,0.0,0.48172302596967703,70,1
clarinet,118,3.512487963263993,258.8072187023957,308.0,0.5324483358154236,66,1
valley,119,3.7435915854293853,161.04154171477194,19.0,0.5583194438671544,65,5
pastry,122,3.277576945198234,246.70031923256528,120.0,0.5036388364830562,69,1
trumpet,131,3.7234048105492548,189.30547518345332,65.0,0.5376747629797294,66,1
coast,137,3.217744114343077,185.50672215213135,65.0,0.4711644354967914,71,2
mammal,140,5.019222022845497,278.69097432563456,259.0,0.8306791253019103,54,4
pedestrian,145,3.0168458554544486,304.54334338653433,575.0,0.4439449050684887,71,1
weary,159,3.6344436200452037,151.2510351415767,62.0,0.5478228900787993,71,2
lever,181,3.794259933867579,280.4558423156094,426.0,0.533376077888636,67,1
wedge,185,3.671013746643439,145.49795601411302,1.0,0.5538484034676336,63,1
barb,201,4.008980631711893,165.1527843164734,16.0,0.6000251849225408,64,1
dromedary,216,2.667583319125697,145.83092954420408,0.0,0.3808820208918906,72,2
