word,ppvt,strgth,close,betw,eigen,degree,freq,strgth-rank,close-rank,betw-rank,eigen-rank,degree-rank,freq-rank
trunk,90,10.128043047792744,1.0658212402597733,0.0,0.126526888097202,34,294,165.0,165.0,94.0,164.0,164.0,29.0
vase,91,12.846537103061564,1.0849900283913494,0.0,0.16994018656079773,54,40,108.0,109.0,94.0,123.0,85.5,73.0
harp,92,12.90058661961666,1.0853781383461776,0.0,0.17907344439844752,55,70,105.0,105.0,94.0,105.0,78.5,60.5
bloom,93,12.224839911912113,1.0806742437335997,0.0,0.15778321548270602,41,226,135.0,134.0,94.0,145.0,156.5,36.0
horrified,94,13.699552899226546,1.091288723348718,0.0,0.20352193961125167,53,15,66.0,67.0,94.0,85.0,91.0,98.5
swamp,95,14.711867858364712,1.0985468010572133,0.0,0.25016549942273064,61,65,51.0,51.0,94.0,49.0,54.0,64.5
heart,96,26.631590849603526,1.2172353138271308,0.0,0.7523557547778047,76,3394,24.0,24.0,94.0,23.0,9.5,1.0
pigeon,97,15.666500698542222,1.1065045917068188,0.0,0.2701482774969371,67,70,39.0,39.0,94.0,44.0,36.5,60.5
ankle,98,12.655498162705044,1.0836204685936361,0.0,0.18246791265544765,45,53,117.0,118.0,94.0,99.0,132.5,66.0
flaming,99,28.208650188695174,1.2242041959773107,2.0,0.8293095221561039,67,12,19.0,22.0,22.0,18.0,36.5,105.0
wrench,100,14.19158608163707,1.0950411618048348,0.0,0.24940102250276205,70,30,57.0,57.0,94.0,51.0,30.0,83.0
aquarium,101,12.201859874010552,1.0803821434431493,0.0,0.15774579882128656,43,6,137.0,137.0,94.0,146.0,143.5,123.0
safe,103,27.411476878311078,1.2285293261265378,31.0,0.7262809548031202,76,787,22.0,20.0,8.5,24.0,9.5,12.0
boulder,104,13.128175447534886,1.0871391348556247,0.0,0.20532219738592178,54,45,89.0,89.0,94.0,78.0,85.5,72.0
reptile,105,12.740635852096602,1.0845105115205063,0.0,0.17533871696169756,48,15,112.0,112.0,94.0,112.0,118.5,98.5
canoe,106,12.594812796457973,1.0833006193212558,0.0,0.16554153882084527,43,38,120.0,120.0,94.0,133.0,143.5,74.0
athlete,107,12.256055328063667,1.080791564313303,0.0,0.16183500908831486,46,1,133.0,133.0,94.0,141.0,129.0,159.0
